open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1667260800000,6.62000000,6.64000000,6.61000000,6.64000000,80820.74000000,1667261699999,535192.16790000,479,46295.27000000,306611.26670000,0
1667261700000,6.63000000,6.64000000,6.60000000,6.60000000,49010.25000000,1667262599999,324372.37630000,353,20100.20000000,133094.20050000,0
1667262600000,6.60000000,6.66000000,6.59000000,6.64000000,68997.96000000,1667263499999,457073.39540000,504,35411.24000000,234551.80100000,0
1667263500000,6.64000000,6.65000000,6.62000000,6.62000000,19163.62000000,1667264399999,127145.39440000,208,3920.14000000,26044.56290000,0
1667264400000,6.62000000,6.65000000,6.62000000,6.64000000,17638.50000000,1667265299999,116976.81900000,188,13635.30000000,90458.70480000,0
1667265300000,6.64000000,6.66000000,6.64000000,6.66000000,48743.19000000,1667266199999,324139.89160000,334,20888.00000000,139013.96320000,0
1667266200000,6.65000000,6.67000000,6.65000000,6.66000000,29496.28000000,1667267099999,196455.11030000,257,14220.45000000,94723.74440000,0
1667267100000,6.65000000,6.67000000,6.65000000,6.65000000,19040.77000000,1667267999999,126737.06890000,211,11610.21000000,77297.42110000,0
1667268000000,6.66000000,6.67000000,6.64000000,6.65000000,26407.03000000,1667268899999,175775.56130000,296,9897.47000000,65890.92870000,0
1667268900000,6.66000000,6.66000000,6.64000000,6.66000000,18060.49000000,1667269799999,120111.62640000,195,6984.21000000,46461.77840000,0
1667269800000,6.66000000,6.69000000,6.66000000,6.68000000,25301.86000000,1667270699999,168889.27220000,373,16573.71000000,110654.07280000,0
1667270700000,6.68000000,6.70000000,6.67000000,6.68000000,14064.02000000,1667271599999,93958.99370000,204,6727.70000000,44963.43250000,0
1667271600000,6.69000000,6.70000000,6.66000000,6.66000000,37027.76000000,1667272499999,247219.18600000,388,15567.70000000,103938.40630000,0
1667272500000,6.67000000,6.67000000,6.65000000,6.65000000,13045.86000000,1667273399999,86841.98270000,216,5905.94000000,39334.34600000,0
1667273400000,6.65000000,6.66000000,6.64000000,6.65000000,23234.26000000,1667274299999,154497.29430000,285,6485.13000000,43130.06780000,0
1667274300000,6.66000000,6.66000000,6.61000000,6.62000000,101624.10000000,1667275199999,674061.83110000,695,21096.75000000,140009.50660000,0
1667275200000,6.62000000,6.63000000,6.61000000,6.61000000,17845.40000000,1667276099999,118123.32860000,249,8931.89000000,59151.89440000,0
1667276100000,6.61000000,6.63000000,6.60000000,6.61000000,58449.48000000,1667276999999,386967.78820000,532,33932.87000000,224706.50530000,0
1667277000000,6.60000000,6.63000000,6.60000000,6.62000000,32632.74000000,1667277899999,215743.96070000,333,20304.15000000,134252.39270000,0
1667277900000,6.62000000,6.63000000,6.61000000,6.61000000,19444.92000000,1667278799999,128718.50540000,147,11664.30000000,77220.75290000,0
1667278800000,6.62000000,6.64000000,6.61000000,6.62000000,36811.69000000,1667279699999,243740.57870000,361,12955.33000000,85807.34320000,0
1667279700000,6.62000000,6.64000000,6.61000000,6.63000000,21632.02000000,1667280599999,143310.08590000,187,14474.60000000,95893.34260000,0
1667280600000,6.63000000,6.65000000,6.62000000,6.64000000,24799.27000000,1667281499999,164502.44600000,193,18432.40000000,122304.93360000,0
1667281500000,6.65000000,6.66000000,6.64000000,6.65000000,18010.33000000,1667282399999,119764.78070000,212,7828.72000000,52064.55800000,0
1667282400000,6.65000000,6.68000000,6.63000000,6.68000000,72963.28000000,1667283299999,486002.29320000,729,35982.57000000,239754.80660000,0
1667283300000,6.68000000,6.71000000,6.67000000,6.69000000,60181.69000000,1667284199999,402698.48280000,606,36549.94000000,244622.28300000,0
1667284200000,6.69000000,6.70000000,6.67000000,6.69000000,34505.09000000,1667285099999,230676.23000000,317,14459.53000000,96681.61530000,0
1667285100000,6.70000000,6.71000000,6.69000000,6.70000000,33534.48000000,1667285999999,224701.15870000,308,9776.50000000,65526.45750000,0
1667286000000,6.70000000,6.72000000,6.68000000,6.71000000,43583.43000000,1667286899999,292051.27210000,370,27999.35000000,187736.91830000,0
1667286900000,6.71000000,6.72000000,6.67000000,6.68000000,59048.11000000,1667287799999,395080.41140000,490,27062.34000000,181014.81880000,0
1667287800000,6.68000000,6.69000000,6.68000000,6.69000000,36474.97000000,1667288699999,243802.27960000,281,20129.61000000,134615.27480000,0
1667288700000,6.68000000,6.69000000,6.68000000,6.69000000,11846.04000000,1667289599999,79157.39610000,141,2584.89000000,17292.91410000,0
1667289600000,6.69000000,6.72000000,6.68000000,6.71000000,45020.39000000,1667290499999,301715.26640000,591,24358.43000000,163275.82430000,0
1667290500000,6.70000000,6.71000000,6.68000000,6.69000000,43753.91000000,1667291399999,292814.78140000,305,17939.82000000,120117.54000000,0
1667291400000,6.68000000,6.69000000,6.68000000,6.68000000,7297.12000000,1667292299999,48760.58130000,114,2941.26000000,19663.43650000,0
1667292300000,6.68000000,6.70000000,6.67000000,6.68000000,37375.77000000,1667293199999,249838.57870000,313,17492.97000000,116978.24460000,0
1667293200000,6.69000000,6.70000000,6.67000000,6.68000000,45455.56000000,1667294099999,303709.25190000,330,16766.69000000,112045.42440000,0
